isbn13,title,author,genre,salesPoint
9788954651134,"흰 - 2024 노벨문학상 수상작가, 한강 소설","한강 (지은이), 최진혁 (사진)",국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,45634
9791193153710,"너를 아끼며 살아라 - 나태주 시인이 들려주는 가장 소중한 말, 2026년 수원시 올해의 책",나태주 (지은이),국내도서>에세이>한국에세이,45508
9791124638002,이병한의 대한민국 탐문,이병한 (지은이),국내도서>인문학>교양 인문학,45410
9791141615055,쥬디 할머니 - 소설가가 사랑하는 박완서 단편 베스트 10,박완서 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,45206
9791194530398,단 한 줄만 내 마음에 새긴다고 해도 - 나민애의 인생 시 필사 노트,나민애 (지은이),국내도서>인문학>책읽기/글쓰기>글쓰기,44957
9788937460616,설국,"가와바타 야스나리 (지은이), 유숙자 (옮긴이)",국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,43847
9791141602383,인간 실격,"다자이 오사무 (지은이), 홍은주 (옮긴이)",국내도서>소설/시/희곡>일본소설>1950년대 이전 일본소설,42370
9791175780170,"캐릭터 심리 사전 - 선인부터 악인, 평범부터 극단까지 심리학자가 총망라한 400개 인간 성격 지도","린다 N. 에델스타인 (지은이), 지여울 (옮긴이)",국내도서>인문학>책읽기/글쓰기>글쓰기,41675
9791141601300,이중 하나는 거짓말,김애란 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,41642
9791194374299,요리를 한다는 것,최강록 (지은이),국내도서>에세이>명사에세이>기타 명사에세이,41134
9791168343108,양면의 조개껍데기,김초엽 (지은이),국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,40612
9791192389233,마음의 기술 - 부정적 감정을 지우는 효과적인 뇌 사용법,"안-엘렌 클레르, 뱅상 트리부 (지은이), 구영옥 (옮긴이)",국내도서>인문학>심리학/정신분석학>교양 심리학,38984
9791139716146,행동하지 않으면 인생은 바뀌지 않는다 - 위대한 변화를 이끌어내는 아주 작은 실행의 힘,"브라이언 트레이시 (지은이), 정지현 (옮긴이)",국내도서>자기계발>성공>성공학,38695
9791168341890,제철 행복 - 가장 알맞은 시절에 건네는 스물네 번의 다정한 안부,김신지 (지은이),국내도서>에세이>한국에세이,38582
9788936439651,대온실 수리 보고서,김금희 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,38192
9791167903662,매스커레이드 라이프,"히가시노 게이고 (지은이), 김은모 (옮긴이)",국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,37910
